Company,Developer,Application / Job #,Division,City/Town,Zip Code,Circuit ID,Substation,"Hybrid
(Y/N)",Related Application/Job #,"PV
(kWAC)","ESS
(kWAC)","WIND
(kWAC)","MT
(kWAC)","SG
(kWAC)","IG
(kWAC)","FW
(kWAC)","FC
(kWAC)","CHP
(kWAC)","GT
(kWAC)","HYDRO
(kWAC)","ICE
(kWAC)","ST
(kWAC)","OTHER
(kWAC)","Metering
(NA / NM / RNM / CDG)","Value Stack
(Y/N)",Start Date,End Date,Calculated Duration,"Application Approved Date 
(Utility)",Start Date (Must Match Application Approved Date),End Date,Calculated Duration,Payment Received Date,Start Date,End Date,Calculated Duration,CESIR cost to customer,CESIR cost to utility,Estimated Costs by Utility,Actual Customer Project Costs,Actual Utility Project Costs,Down Payment Date,Full Payment Date,Construction Start Date,Construction Complete Date,Verification Testing or Final Acceptance Date,Final Letter of Acceptance Date,Project Complete (Y/N),Utility Retention of REC (Y/N)
Central Hudson,Akeena Solar,CH-00642,Fishkill,Beacon,12508,8018,Forgebrook,No,,5.92,,,,,,,,,,,,,,NM,No,01/03/2005,02/03/2005,1,02/03/2005,,, ,,,, ,,,,,,,,,,09/03/2005,09/03/2005,Yes,
Central Hudson,Global Resource Options,CH-01144,Catskill,Rensselaervl,12147,1092,Westerlo,No,,8.5,,,,,,,,,,,,,,NM,No,04/03/2005,12/03/2005,5,12/03/2005,,, ,,,, ,,,,,,,,,,01/07/2005,03/08/2005,Yes,
Central Hudson,Hudson Solar,CH-01953,Newburgh,New Paltz,12561,5023,Ohioville,No,,3.6,,,,,,,,,,,,,,NM,No,04/03/2005,09/03/2005,3,09/03/2005,,, ,,,, ,,,,,,,,,,28/03/2005,28/03/2005,Yes,
Central Hudson,Sun Mountain,CH-09100,Kingston,Bearsvl,12409,3012,Woodstock,No,CH-09100,3,,,,,,,,,,,,,,NM,No,19/05/2005,25/05/2005,4,25/05/2005,,, ,,,, ,,,,,,,,,,08/06/2005,08/06/2005,Yes,
Central Hudson,Sun Mountain,CH-09105,Kingston,Bearsvl,12409,3012,Woodstock,No,,1.8,,,,,,,,,,,,,,NM,No,19/05/2005,24/05/2005,3,24/05/2005,,, ,,,, ,,,,,,,,,,01/08/2005,03/08/2005,Yes,
Central Hudson,Hudson Solar,CH-01481,Poughkeepsie,Staatsburg,12580,7042,Staatsburg,No,,12,,,,,,,,,,,,,,NM,No,21/03/2005,21/03/2005,0,21/03/2005,,, ,,,, ,,,,,,,,,,04/05/2005,06/05/2005,Yes,
Central Hudson,Hudson Solar,CH-01848,Poughkeepsie,Red Hook,12571,7061,Milan,No,,6,,,,,,,,,,,,,,NM,No,28/03/2005,29/03/2005,1,29/03/2005,,, ,,,, ,,,,,,,,,,03/06/2005,06/06/2005,Yes,
Central Hudson,Northern Power Systems,CH-02775,Newburgh,Cornwall,12518,4041,Union Ave,No,,24,,,,,,,,,,,,,,NM,No,28/03/2005,31/03/2005,3,31/03/2005,,, ,,,, ,,,,,,,,,,10/01/2006,13/01/2006,Yes,
Central Hudson,Hudson Solar,CH-01841,Poughkeepsie,Rhinebeck,12572,7053,Rhinebeck,No,,3.5,,,,,,,,,,,,,,NM,No,22/04/2005,27/04/2005,3,27/04/2005,,, ,,,, ,,,,,,,,,,13/07/2005,14/07/2005,Yes,
Central Hudson,Hudson Solar,CH-01388,Poughkeepsie,Hyde Pk,12538,6075,East Park,No,,7.8,,,,,,,,,,,,,,NM,No,11/05/2005,13/05/2005,2,13/05/2005,,, ,,,, ,,,,,,,,,,20/06/2005,21/06/2005,Yes,
Central Hudson,Hudson Solar,CH-01592,Catskill,Catskill,12414,2001,North Catskill,No,,7.8,,,,,,,,,,,,,,NM,No,16/05/2005,17/05/2005,1,17/05/2005,,, ,,,, ,,,,,,,,,,07/07/2005,11/07/2005,Yes,
Central Hudson,ETM Solar Works,CH-01121,Kingston,Rosendale,12472,3021,High Falls,No,,12,,,,,,,,,,,,,,NM,No,09/06/2005,13/06/2005,2,13/06/2005,,, ,,,, ,,,,,,,,,,01/07/2005,11/07/2005,Yes,
Central Hudson,Global Resource Options,CH-01145,Poughkeepsie,Poughkeepsie,12601,6062,Inwood Ave,No,,3,,,,,,,,,,,,,,NM,No,23/05/2005,25/05/2005,2,25/05/2005,,, ,,,, ,,,,,,,,,,24/06/2005,24/06/2005,Yes,
Central Hudson,Hudson Solar,CH-01554,Poughkeepsie,Ancramdale,12503,7092,Pulvers Corners,No,,13.8,,,,,,,,,,,,,,NM,No,08/06/2005,13/06/2005,3,13/06/2005,,, ,,,, ,,,,,,,,,,21/09/2005,22/09/2005,Yes,
Central Hudson,Wiley Electronics LLC,CH-09944,Kingston,Shokan,12481,3011,Woodstock,No,,2.8,,,,,,,,,,,,,,NM,No,22/06/2005,23/06/2005,1,23/06/2005,,, ,,,, ,,,,,,,,,,22/11/2005,23/11/2005,Yes,
Central Hudson,Hudson Solar,CH-01535,Poughkeepsie,Red Hook,12571,7062,Milan,No,,9.8,,,,,,,,,,,,,,NM,No,15/06/2005,17/06/2005,2,17/06/2005,,, ,,,, ,,,,,,,,,,12/10/2005,12/10/2005,Yes,
Central Hudson,Sun Mountain,CH-09111,Kingston,Stone Ridge,12484,3023,High Falls,No,,7.2,,,,,,,,,,,,,,NM,No,14/07/2005,20/07/2005,4,20/07/2005,,, ,,,, ,,,,,,,,,,14/10/2005,19/10/2005,Yes,
Central Hudson,Hudson Solar,CH-02092,Poughkeepsie,Millbrook,12545,7025,Tinkertown,No,,6,,,,,,,,,,,,,,NM,No,21/07/2005,25/07/2005,2,25/07/2005,,, ,,,, ,,,,,,,,,,07/10/2005,11/10/2005,Yes,
Central Hudson,Hudson Solar,CH-01991,Newburgh,New Paltz,12561,5021,Ohioville,No,,5,,,,,,,,,,,,,,NM,No,26/07/2005,01/08/2005,4,01/08/2005,,, ,,,, ,,,,,,,,,,28/09/2005,28/09/2005,Yes,
