Company,Developer,Application / Job #,Division,City/Town,Zip Code,Circuit ID,Substation,"Hybrid
(Y/N)",Related Application/Job #,"PV
(kWAC)","ESS
(kWAC)","WIND
(kWAC)","MT
(kWAC)","SG
(kWAC)","IG
(kWAC)","FW
(kWAC)","FC
(kWAC)","CHP
(kWAC)","GT
(kWAC)","HYDRO
(kWAC)","ICE
(kWAC)","ST
(kWAC)","OTHER
(kWAC)","Metering
(NA / NM / RNM / CDG)","Value Stack
(Y/N)",Start Date,End Date,Calculated Duration,"Application Approved Date 
(Utility)",Start Date (Must Match Application Approved Date),End Date,Calculated Duration,Payment Received Date,Start Date,End Date,Calculated Duration,CESIR cost to customer,CESIR cost to utility,Estimated Costs by Utility,Actual Customer Project Costs,Actual Utility Project Costs,Down Payment Date,Full Payment Date,Construction Start Date,Construction Complete Date,Verification Testing or Final Acceptance Date,Final Letter of Acceptance Date,Project Complete (Y/N),Utility Retention of REC (Y/N)
O&R,Other,DGINT-00066,WEST,Port Jervis,12771, 6-7-13,Port Jervis,NO,0,7.6,,,,,,,,,,,,,,NM,NO,23/05/2016,06/06/2016,9,06/06/2016,,,,,,,,,,,,,,,,,19/08/2016,19/08/2016,Yes,NO
O&R,Other,DGINT-00067,EAST,Stony Point,10980,23-6-13,Stony Point,NO,0,10,,,,,,,,,,,,,,NM,NO,23/05/2016,06/06/2016,9,06/06/2016,,,,,,,,,,,,,,,,,04/08/2016,04/08/2016,Yes,NO
O&R,Other,DGINT-00068,CENTRAL,Monroe,10950,71-3-13,Harriman,NO,0,5,,,,,,,,,,,,,,NM,NO,24/05/2016,06/06/2016,8,06/06/2016,,,,,,,,,,,,,,,,,10/08/2016,10/08/2016,Yes,NO
O&R,Other,DGINT-00069,EAST,New City,10956,24-1-13,Snake Hill Road,NO,0,7.68,,,,,,,,,,,,,,NM,NO,25/05/2016,08/06/2016,9,08/06/2016,,,,,,,,,,,,,,,,,04/08/2016,04/08/2016,Yes,NO
O&R,Other,DGINT-00070,CENTRAL,Florida,10921,80-1-13,Wisner,NO,0,7.6,,,,,,,,,,,,,,NM,NO,25/05/2016,08/06/2016,9,08/06/2016,,,,,,,,,,,,,,,,,16/08/2016,16/08/2016,Yes,NO
O&R,Other,DGINT-00071,CENTRAL,Warwick,10990,84-3-13,Hunt,NO,0,6.25,,,,,,,,,,,,,,NM,NO,25/05/2016,08/06/2016,9,23/06/2016,,,,,,,,,,,,,,,,,18/08/2016,18/08/2016,Yes,NO
O&R,Other,DGINT-00073,EAST,Spring Valley,10977,45-4-13,New Hempstead,NO,0,3,,,,,,,,,,,,,,NM,NO,25/05/2016,08/06/2016,9,08/06/2016,,,,,,,,,,,,,,,,,20/10/2016,20/10/2016,Yes,NO
O&R,Other,DGINT-00074,CENTRAL,Goshen,10924,89-2-13,South Goshen,NO,0,6.8,,,,,,,,,,,,,,NM,NO,25/05/2016,09/06/2016,10,09/06/2016,,,,,,,,,,,,,,,,,29/06/2016,29/06/2016,Yes,NO
O&R,Other,DGINT-00075,EAST,Nanuet,10954,53-6-13,Nanuet,NO,0,6.8,,,,,,,,,,,,,,NM,NO,18/07/2016,18/07/2016,1,18/07/2016,,,,,,,,,,,,,,,,,21/09/2016,21/09/2016,Yes,NO
O&R,Other,DGINT-00076,WEST,Middletown,10940,113-8-13,Silver Lake,NO,0,3.6,,,,,,,,,,,,,,NM,NO,25/05/2016,08/06/2016,9,08/06/2016,,,,,,,,,,,,,,,,,18/08/2016,18/08/2016,Yes,NO
O&R,Other,DGINT-00077,CENTRAL,Goshen,10924,13-9-13,Hartley Road,NO,0,7.04,,,,,,,,,,,,,,NM,NO,26/05/2016,10/06/2016,10,10/06/2016,,,,,,,,,,,,,,,,,02/08/2016,02/08/2016,Yes,NO
O&R,Other,DGINT-00078,CENTRAL,Goshen,10924,63-4-13,Chester,NO,0,5,,,,,,,,,,,,,,NM,NO,26/05/2016,10/06/2016,10,10/06/2016,,,,,,,,,,,,,,,,,05/07/2016,05/07/2016,Yes,NO
O&R,Other,DGINT-00079,CENTRAL,Warwick,10990,63-2-13,Chester,NO,0,6,,,,,,,,,,,,,,NM,NO,26/05/2016,10/06/2016,10,07/07/2016,,,,,,,,,,,,,,,,,09/08/2016,09/08/2016,Yes,NO
O&R,Other,DGINT-00080,EAST,Garnerville,10923,27-7-13,West Haverstraw,NO,0,3,,,,,,,,,,,,,,NM,NO,26/05/2016,10/06/2016,10,13/10/2016,,,,,,,,,,,,,,,,,02/11/2016,02/11/2016,Yes,NO
O&R,Other,DGINT-00081,CENTRAL,Florida,10921,80-1-13,Wisner,NO,0,8.2,,,,,,,,,,,,,,NM,NO,26/05/2016,10/06/2016,10,11/08/2016,,,,,,,,,,,,,,,,,31/08/2016,31/08/2016,Yes,NO
O&R,Other,DGINT-00082,CENTRAL,Warwick,10990,80-2-13,Wisner,NO,0,19,,,,,,,,,,,,,,NM,NO,26/05/2016,10/06/2016,10,21/07/2016,,,,,,,,,,,,,,,,,31/08/2016,31/08/2016,Yes,NO
