Company,Developer,Application / Job #,Division,City/Town,Zip Code,Circuit ID,Substation,"Hybrid
(Y/N)",Related Application/Job #,"PV
(kWAC)","ESS
(kWAC)","WIND
(kWAC)","MT
(kWAC)","SG
(kWAC)","IG
(kWAC)","FW
(kWAC)","FC
(kWAC)","CHP
(kWAC)","GT
(kWAC)","HYDRO
(kWAC)","ICE
(kWAC)","ST
(kWAC)","OTHER
(kWAC)","Metering
(NA / NM / RNM / CDG)","Value Stack
(Y/N)",Start Date,End Date,Calculated Duration,"Application Approved Date 
(Utility)",Start Date (Must Match Application Approved Date),End Date,Calculated Duration,Payment Received Date,Start Date,End Date,Calculated Duration,CESIR cost to customer,CESIR cost to utility,Estimated Costs by Utility,Actual Customer Project Costs,Actual Utility Project Costs,Down Payment Date,Full Payment Date,Construction Start Date,Construction Complete Date,Verification Testing or Final Acceptance Date,Final Letter of Acceptance Date,Project Complete (Y/N),Utility Retention of REC (Y/N)
NYSEG,,364,Liberty,Callicoon center,12724,2401611,NYS-JEFFERSONVILLE 111,N,,0,0,10,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,09/12/2003,Y,N
NYSEG,,365,Ithaca,Ithaca,14850,4301502,NYS-WEST HILL 610,N,,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,27/08/2003,Y,N
NYSEG,,366,Ithaca,Ithaca,14850,4301502,NYS-WEST HILL 610,N,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,06/03/2003,Y,N
NYSEG,,367,Ithaca,Ithaca,14850,4301502,NYS-WEST HILL 610,N,,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,27/08/2003,Y,N
NYSEG,,368,Ithaca,Ithaca,14850,4301502,NYS-WEST HILL 610,N,,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,19/04/2004,Y,N
NYSEG,,369,Ithaca,Ithaca,14850,4301502,NYS-WEST HILL 610,N,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,27/08/2003,Y,N
NYSEG,,370,Ithaca,Ithaca,14850,4301502,NYS-WEST HILL 610,N,,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,27/08/2003,Y,N
NYSEG,,371,Ithaca,Ithaca,14850,4301502,NYS-WEST HILL 610,N,,5.24,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,09/09/2003,Y,N
NYSEG,,373,Binghamton,Owego,13827,8107402,NYS-SOUTH OWEGO 540,Y,,2.5,0,10,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,13/02/2003,Y,N
NYSEG,,374,Ithaca,Ithaca,14850,4303001,NYS-DANBY RD 571,N,,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,11/04/2003,Y,N
NYSEG,,376,Oneonta,South new berlin,13843,2304122,NYS-NEW BERLIN 022,N,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,12/02/2003,Y,N
NYSEG,,377,Ithaca,Ithaca,14850,4301502,NYS-WEST HILL 610,N,,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,08/04/2004,Y,N
NYSEG,,378,Elmira,Rock Stream,14878,1503101,NYS-NORTON 420,N,,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,06/03/2003,Y,N
NYSEG,,380,Brewster,Alfred,14802,5301570,NYS-PALMITER RD 370,N,,0,0,10,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,09/12/2003,Y,N
NYSEG,,384,Binghamton,Endicott,13760,8101102,NYS-ENDICOTT HILL 183,N,,13.178,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,19/06/2003,Y,N
NYSEG,,385,Brewster,Mount Kisco,10549,1105597,NYS-CANTITOE 497,N,,15,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,17/11/2004,Y,N
NYSEG,,386,Ithaca,Ithaca,14850,4300902,NYS-ETNA 709,N,,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,08/08/2003,Y,N
NYSEG,,388,Ithaca,Locke,13092,4300701,NYS-LOCKE 718,N,,0,0,10,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,19/12/2003,Y,N
NYSEG,,390,Brewster,Amenia,12501,1106094,NYS-DOVER PLAINS 494,N,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,15/10/2003,Y,N
NYSEG,,392,Binghamton,Endicott,13760,8100801,NYS-HOOPER RD 701,N,,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,19/06/2003,Y,N
NYSEG,,393,Binghamton,Vestal,13850,8101402,NYS-VESTAL 715,N,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,25/08/2003,Y,N
NYSEG,ETM Solar Works,394,Oneonta,Sidney,13838,2301012,NYS-SIDNEY-RAILROAD 012,N,,10.53,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,15/01/2004,Y,N
NYSEG,,395,Oneonta,Morris,13808,2301614,NYS-MORRIS 214,N,,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,25/08/2003,Y,N
NYSEG,,396,Auburn,Aurora,13026,4400702,NYS-AURORA 708,N,,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,25/07/2003,27019,,,,,,,,,,,,,,,08/08/2003,Y,N
NYSEG,,397,Elmira,Lansing,14882,4300302,NYS-SOUTH LANSING 720,N,,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,08/08/2003,Y,N
NYSEG,Solar Design Assoc. Inc.,398,Plattsburgh,Blue Mountain Lake,12812,1501601,NYS-BLUE MTN LAKE 504,N,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,12/06/2003,12/06/2003,1,12/06/2003,12/06/2003,25/07/2003,32,,,,,,,,,,,,,,28/07/2003,25/08/2003,Y,N
NYSEG,,399,Oneonta,Andes,13731,2306435,NYS-ANDES 235,N,,1.152,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,14/03/2005,Y,N
NYSEG,,400,Ithaca,Ithaca,14850,4300101,NYS-CAYUGA HEIGHTS 604,N,,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,08/08/2003,Y,N
NYSEG,,401,Plattsburgh,Saranac,12981,1502574,NYS-HIGH FALLS 474,N,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,15/10/2003,Y,N
NYSEG,,402,Brewster,Pawling,12564,1106667,NYS-PAWLING 509,N,,0,0,120,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,,Y,N
NYSEG,,403,Ithaca,Ithaca,14850,4300202,NYS-EAST ITHACA 405,N,,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,04/12/2003,Y,N
NYSEG,,404,Ithaca,Spencer,14883,4301301,NYS-SPENCER 712,N,,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,27/08/2003,Y,N
NYSEG,,405,Plattsburgh,Chazy,12921,1500517,NYS-SCIOTA-FLATROCK 517,N,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,20/11/2003,Y,N
NYSEG,,406,Plattsburgh,West Chazy,12992,1500517,NYS-SCIOTA-FLATROCK 517,N,,21,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,24/03/2004,Y,N
NYSEG,,407,Plattsburgh,Saranac,12981,1502574,NYS-HIGH FALLS 474,N,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,23/02/2004,Y,N
NYSEG,,408,Liberty,Monticello,12701,2401763,NYS-KIAMESHA 263,N,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,15/10/2003,Y,N
NYSEG,,409,Ithaca,Willseyville,13864,4304901,NYS-WILSEYVILLE 751,N,,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,23/02/2004,Y,N
NYSEG,,410,Ithaca,Ithaca,14850,4300202,NYS-EAST ITHACA 405,N,,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,01/10/2003,Y,N
NYSEG,,411,Ithaca,Danby,14850,4303001,NYS-DANBY RD 571,N,,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,30/04/2004,Y,N
NYSEG,,413,Liberty,Callicoon center,12724,2401611,NYS-JEFFERSONVILLE 111,N,364,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,08/04/2004,Y,N
NYSEG,,414,Binghamton,Binghamton,13901,8101701,NYS-CHENANGO BRIDGE 741,N,,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,19/08/2004,Y,N
NYSEG,,415,Auburn,Auburn,13021,4402101,NYS-STRYKER AVE 702,N,,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,15/12/2003,Y,N
NYSEG,,416,Ithaca,Ithaca,14850,4302204,NYS-SOUTH HILL 607,N,,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,19/12/2003,Y,N
NYSEG,,417,Mechanicville ,Copake,12516,1204004,NYS-CRARYVILLE 610,N,,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,12/12/2003,Y,N
NYSEG,,419,Ithaca,Freeville,13068,4303701,NYS-PERUVILLE TAP 522,N,,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,02/04/2004,Y,N
NYSEG,,422,Ithaca,Trumansburg,14886,4303401,NYS-BURDETT MECK 508,N,,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,02/06/2004,Y,N
NYSEG,,423,Mechanicville ,Salem,12865,1201202,NYS-SALEM 176,N,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,23/02/2004,Y,N
NYSEG,,424,Oneonta,Hartwick,13348,2301358,NYS-MILFORD 258,N,,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,28/06/2004,Y,N
NYSEG,,425,Ithaca,Ithaca,14850,4300104,NYS-CAYUGA HEIGHTS 601,N,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,07/05/2004,Y,N
NYSEG,,426,Ithaca,Ithaca,14850,4301502,NYS-WEST HILL 610,N,,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,08/04/2004,Y,N
NYSEG,,427,Ithaca,Ithaca,14850,4301502,NYS-WEST HILL 610,N,,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,19/04/2004,Y,N
NYSEG,,428,Plattsburgh,Ellenburg Depot,12935,1500114,NYS-CHATEAUGAY 514,N,,27.6,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,06/12/2006,Y,N
NYSEG,,429,Oneonta,Milford,13807,2301327,NYS-MILFORD 227,N,,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,22/09/2004,Y,N
NYSEG,,430,Mechanicville ,New lebanon,12125,1203805,NYS-WEST LEBANON 165,N,,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,12/05/2004,Y,N
NYSEG,Renovus Solar,432,Ithaca,Ithaca,14850,4300202,NYS-EAST ITHACA 405,N,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,13/01/2015,13/01/2015,1,13/01/2015,13/01/2015,23/01/2015,9,,,,,,,,,,,,,,21/08/2015,25/08/2015,Y,N
NYSEG,"Sustainable Energy Developments, Inc.",433,Oneonta,Morrisville,13408,2305066,NYS-MORRISVILLE 266,N,,0,0,10,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,11/01/2006,Y,N
NYSEG,,434,Auburn,King Ferry,13081,4403201,NYS-KING FERRY 528,N,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,27/04/2004,Y,N
NYSEG,,435,Plattsburgh,West Chazy,12992,1501001,NYS-WEST CHAZY 136,N,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,25/10/2004,Y,N
NYSEG,Solar Works,436,Ithaca,Spencer,14883,4301301,NYS-SPENCER 712,N,,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,03/11/2004,Y,N
NYSEG,,437,Oneonta,Downsville,13755,2307412,NYS-DOWNSVILLE 012,N,,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,28/06/2004,Y,N
NYSEG,,440,Plattsburgh,Chazy,12921,1503901,NYS-MASON CORNERS 450,N,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,16/03/2005,Y,N
NYSEG,Apex Solar,441,Plattsburgh,Upper jay,12987,1502601,NYS-JAY 502,N,,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,16/10/2015,22/10/2015,5,22/10/2015,22/10/2015,26/10/2015,3,,,,,,,,,,,,,,09/12/2015,10/12/2015,Y,N
NYSEG,,443,Oneonta,Norwich,13815,2304072,NYS-BIRDSALL 072,N,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,15/10/2004,Y,N
NYSEG,Solar Design Associates,444,Plattsburgh,Blue Mountain Lake,12812,1501601,NYS-BLUE MTN LAKE 504,N,,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,07/05/2004,12/05/2004,4,12/05/2004,12/05/2004,21/06/2004,29,,,,,,,,,,,,,,28/07/2004,17/11/2004,Y,N
NYSEG,,445,Plattsburgh,Keene,12942,1503101,NYS-NORTON 420,N,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,16/11/2004,Y,N
