tractid,NAME,state,year,pop,whiteshare,blackshare,poc,majpoc,per_highschool,per_bachelors,medinc,incabovemedian,area,popdens,urbanshare,p
41039003302,"Census Tract 33.02, Lane County, Oregon",OR,2019,3523,0.8816349701958558,0.004825432869713313,0.1183650298041442,0,0.665058189043429,0.1680386034629577,37443,1,0.651,5205.837173579109,1,123014404
41039003400,"Census Tract 34, Lane County, Oregon",OR,2019,5132,0.8240452065471551,0.013834762275915822,0.17595479345284493,0,0.5999610288386594,0.09372564302416211,41277,1,1.282,3754.290171606864,1,122994404
41039003400,"Census Tract 34, Lane County, Oregon",OR,2019,5132,0.8240452065471551,0.013834762275915822,0.17595479345284493,0,0.5999610288386594,0.09372564302416211,41277,1,1.282,3754.290171606864,1,122994405
41039004403,"Census Tract 44.03, Lane County, Oregon",OR,2019,5229,0.7439280933256837,0.02256645630139606,0.25607190667431634,0,0.5364314400458978,0.18722509083954866,35129,1,0.861,5504.065040650406,1,123124404
41039004501,"Census Tract 45.01, Lane County, Oregon",OR,2019,2834,0.8757939308398024,0.03987297106563162,0.12420606916019761,0,0.7314749470712774,0.4255469301340861,44464,1,0.457,5426.695842450766,1,123094404
41039004700,"Census Tract 47, Lane County, Oregon",OR,2019,4327,0.9246591171712503,0.00392881904321701,0.07534088282874973,0,0.638317541021493,0.38918419228102613,59195,1,0.627,5599.681020733652,1,123094403
41039004800,"Census Tract 48, Lane County, Oregon",OR,2019,4423,0.7999095636445851,0.012887180646619941,0.2000904363554149,0,0.4010852362649785,0.26497852136558897,28584,1,0.681,6845.814977973568,1,123084402
41043020400,"Census Tract 204, Linn County, Oregon",OR,2019,3961,0.8566018682150972,0,0.1433981317849028,0,0.598081292602878,0.10249936884625095,36656,1,1.112,3827.3381294964024,1,123104463
41043020802,"Census Tract 208.02, Linn County, Oregon",OR,2019,6718,0.7670437630247098,0.004316760940756177,0.23295623697529022,0,0.585144388210777,0.10077403989282524,51806,1,1.233,4918.085969180859,1,123094461
41047000200,"Census Tract 2, Marion County, Oregon",OR,2019,3555,0.7940928270042195,0.026722925457102673,0.20590717299578054,0,0.5673699015471168,0.2872011251758087,53606,1,1.21,2671.900826446281,1,123034494
41047000200,"Census Tract 2, Marion County, Oregon",OR,2019,3555,0.7940928270042195,0.026722925457102673,0.20590717299578054,0,0.5673699015471168,0.2872011251758087,53606,1,1.21,2671.900826446281,1,123024494
41047001701,"Census Tract 17.01, Marion County, Oregon",OR,2019,7019,0.8744835446644821,0.021228095170252172,0.12551645533551792,0,0.4741416156147599,0.06382675594814076,40030,1,0.968,6620.8677685950415,1,122984493
41047001701,"Census Tract 17.01, Marion County, Oregon",OR,2019,7019,0.8744835446644821,0.021228095170252172,0.12551645533551792,0,0.4741416156147599,0.06382675594814076,40030,1,0.968,6620.8677685950415,1,122984495
41051000601,"Census Tract 6.01, Multnomah County, Oregon",OR,2019,5850,0.7126495726495726,0.05675213675213675,0.2873504273504274,0,0.571965811965812,0.172991452991453,58906,1,0.785,6838.216560509554,1,122564548
41051000701,"Census Tract 7.01, Multnomah County, Oregon",OR,2019,4744,0.7845699831365935,0.02887858347386172,0.21543001686340646,0,0.6802276559865092,0.36572512647554806,66635,1,0.55,7734.545454545454,1,122574550
41051000802,"Census Tract 8.02, Multnomah County, Oregon",OR,2019,5039,0.8279420519944434,0.01924985116094463,0.17205794800555663,0,0.6945822583846001,0.3760666798968049,63944,1,0.514,8805.44747081712,1,122604549
41051001000,"Census Tract 10, Multnomah County, Oregon",OR,2019,6139,0.8358038768529077,0.013357224303632514,0.1641961231470923,0,0.7507737416517348,0.4749959276755172,82217,1,0.975,5490.25641025641,1,122644549
